Date,Close/Last,Volume,Open,High,Low,type,strike,open,high,low,last,last_size,change,pctchange,previous,bid,bid_size,ask,ask_size,moneyness,volume,volume_change,volume_pctchange,open_interest,open_interest_change,open_interest_pctchange,volatility,volatility_change,volatility_pctchange,theoretical,delta,gamma,theta,vega,rho,vol_oi_ratio,dte,midpoint
2025-04-08,8.25,488735500,10.41,10.84,7.6,put,10.0,2.39,2.39,0.35,0.42,2,-1.98,-82.5,2.4,0.37,21,0.42,1,-0.2199999999999999,4381,-17,-0.39,2331,134,6.1,2.0852,-0.3082,-12.88,0.42,-0.171247,0.06451,-0.06236,0.004807,-0.00052,1.88,8,0.4
2025-04-08,8.25,488735500,10.41,10.84,7.6,put,11.0,3.0,3.0,0.57,0.59,1,-2.56,-81.27,3.15,0.59,21,0.64,22,-0.14,2301,1535,200.39,2273,81,3.7,1.8463,-0.4439,-19.38,0.59,-0.246477,0.090389,-0.068402,0.005962,-0.000739,1.01,8,0.62
2025-04-08,8.25,488735500,10.41,10.84,7.6,put,11.5,3.29,3.3,0.72,0.74,1,-3.26,-81.5,4.0,0.73,21,0.79,22,-0.0999999999999999,606,-70,-10.36,1007,183,22.21,1.7927,-0.4326,-19.44,0.74,-0.297879,0.102307,-0.072928,0.006552,-0.000893,0.6,8,0.76
2025-04-08,8.25,488735500,10.41,10.84,7.6,put,12.0,3.87,3.95,0.87,0.92,1,-3.43,-78.85,4.35,0.9,5,0.99,22,-0.06,2208,1645,292.18,2005,50,2.56,1.7454,0.1023,6.23,0.92,-0.35458,0.112843,-0.07617,0.007035,-0.001059,1.1,8,0.95
2025-04-08,8.25,488735500,10.41,10.84,7.6,put,12.5,4.27,4.27,1.09,1.15,1,-3.85,-77.0,5.0,1.11,3,1.18,22,-0.02,1077,868,415.31,682,36,5.57,1.728,-0.6746,-28.08,1.15,-0.415087,0.119423,-0.078926,0.00737,-0.001244,1.58,8,1.15
2025-04-08,8.25,488735500,10.41,10.84,7.6,put,13.0,4.85,4.85,1.29,1.38,1,-4.02,-74.44,5.4,1.34,21,1.42,23,0.02,814,390,91.98,5667,106,1.91,1.6704,-0.7167,-30.02,1.38,-0.478281,0.126244,-0.077847,0.00753,-0.001428,0.14,8,1.38
2025-04-08,8.25,488735500,10.41,10.84,7.6,put,13.5,4.95,5.1,1.67,1.67,10,-3.03,-64.47,4.7,1.61,7,1.71,11,0.06,272,188,223.81,1848,21,1.15,1.6533,-0.8633,-34.3,1.67,-0.540578,0.127104,-0.076653,0.007502,-0.00161,0.15,8,1.66
2025-04-08,8.25,488735500,10.41,10.84,7.6,call,8.5,1.34,4.63,1.2,4.63,1,3.38,270.4,1.25,2.7,36,5.0,1,0.33,1608,377,30.63,906,624,221.28,2.7629,0.2248,8.86,4.63,0.88533,0.037085,-0.064031,0.003662,0.001463,1.77,8,3.85
2025-04-08,8.25,488735500,10.41,10.84,7.6,call,9.0,1.06,4.15,0.98,4.0,1,2.99,296.04,1.01,3.85,2,4.4,1,0.3,6736,3397,101.74,2130,-7,-0.33,2.1214,-0.3927,-15.62,4.0,0.898703,0.044171,-0.045295,0.003349,0.001639,3.16,8,4.13
2025-04-08,8.25,488735500,10.41,10.84,7.6,call,9.5,0.95,3.75,0.8,3.65,2,2.82,339.76,0.83,1.55,17,6.4,19,0.26,3389,1826,116.83,889,507,132.72,2.2492,-0.2197,-8.9,3.65,0.854928,0.053621,-0.061457,0.004311,0.001593,3.81,8,3.98
2025-04-08,8.25,488735500,10.41,10.84,7.6,call,10.0,0.71,3.35,0.61,3.15,1,2.49,377.27,0.66,2.0,1,3.25,6,0.22,7204,373,5.46,4295,-768,-15.17,1.981,-0.4137,-17.28,3.15,0.83737,0.065665,-0.058457,0.004649,0.001653,1.68,8,2.63
2025-04-08,8.25,488735500,10.41,10.84,7.6,call,10.5,0.51,3.2,0.5,2.94,1,2.42,465.38,0.52,2.68,11,2.93,7,0.18,1749,-1373,-43.98,1157,541,87.82,2.0151,-0.3181,-13.63,2.81,0.790598,0.07553,-0.069372,0.005439,0.001598,1.51,8,2.81
2025-04-08,8.25,488735500,10.41,10.84,7.6,call,11.0,0.42,2.6,0.39,2.43,2,2.02,492.68,0.41,2.36,6,2.49,6,0.14,7154,923,14.81,11458,638,5.9,1.9461,-0.3444,-15.04,2.43,0.747068,0.086916,-0.074367,0.006045,0.001558,0.62,8,2.43
2025-04-08,8.25,488735500,10.41,10.84,7.6,call,11.5,0.34,2.2,0.3,2.02,1,1.73,596.55,0.29,2.02,4,2.12,4,0.1,2889,268,10.23,1987,1073,117.4,1.792,-0.4722,-20.86,2.02,0.702336,0.10228,-0.074182,0.00655,0.001523,1.45,8,2.07
2025-04-08,8.25,488735500,10.41,10.84,7.6,call,12.0,0.27,1.87,0.22,1.72,1,1.47,588.0,0.25,1.7,6,1.9,10,0.06,11461,3164,38.13,7649,1832,31.49,1.7727,-0.4502,-20.25,1.72,0.644997,0.111107,-0.078749,0.007038,0.001428,1.5,8,1.8
2025-04-08,8.25,488735500,10.41,10.84,7.6,call,12.5,0.2,1.57,0.18,1.45,1,1.27,705.56,0.18,1.42,1,1.5,5,0.02,7460,4405,144.19,2592,843,48.2,1.7536,-0.4631,-20.89,1.45,0.585423,0.117586,-0.081472,0.007368,0.001321,2.88,8,1.46
2025-04-08,8.25,488735500,10.41,10.84,7.6,call,13.0,0.16,1.31,0.14,1.2,2,1.03,605.88,0.17,1.15,318,1.24,7,-0.02,10047,7333,270.19,3555,993,38.76,1.7217,-0.5268,-23.43,1.2,0.524366,0.12236,-0.081654,0.007528,0.001205,2.83,8,1.19
2025-04-08,8.25,488735500,10.41,10.84,7.6,call,13.5,0.15,1.05,0.11,0.97,16,0.84,646.15,0.13,0.92,25,1.18,169,-0.06,1708,719,72.7,1033,395,61.91,1.6777,-0.5398,-24.34,0.97,0.461819,0.125223,-0.079303,0.007507,0.00108,1.65,8,1.05
2025-04-08,8.25,488735500,10.41,10.84,7.6,put,9.0,1.5,1.74,0.26,0.27,2,-1.53,-85.0,1.8,0.25,4,0.3,27,-0.3,3983,-690,-14.77,3442,22,0.64,2.2605,-0.2414,-9.65,0.27,-0.112098,0.044604,-0.050726,0.003603,-0.000342,1.16,8,0.28
2025-04-07,9.15,723467300,7.88,10.98,7.225,put,11.5,2.01,4.0,1.57,4.0,1,1.16,40.85,2.84,3.5,12,3.6,17,0.39,676,568,525.93,824,-7,-0.84,2.2253,0.2068,10.25,3.55,-0.780891,0.102739,-0.04639,0.003826,-0.001888,0.82,9,3.55
2025-04-07,9.15,723467300,7.88,10.98,7.225,call,10.0,1.63,1.75,0.5,0.66,1,-0.49,-42.61,1.15,0.64,10,0.66,7,-0.2099999999999999,6831,-2950,-30.16,5063,1715,51.22,2.3947,-0.0492,-2.01,0.66,0.374174,0.122161,-0.065593,0.004909,0.000598,1.35,9,0.65
2025-04-07,9.15,723467300,7.88,10.98,7.225,put,10.5,1.23,3.2,1.09,3.2,3,1.14,55.34,2.06,2.73,6,2.79,21,0.27,2608,2521,2897.7,684,11,1.63,2.3324,0.1421,6.49,2.76,-0.682224,0.118191,-0.059039,0.004618,-0.001676,3.81,9,2.76
2025-04-07,9.15,723467300,7.88,10.98,7.225,put,11.0,1.67,3.15,1.29,3.15,3,0.58,22.57,2.57,3.1,11,3.2,27,0.33,766,173,29.17,2192,-122,-5.27,2.2902,0.1899,9.04,3.15,-0.732111,0.111235,-0.053415,0.004265,-0.001775,0.35,9,3.15
2025-04-07,9.15,723467300,7.88,10.98,7.225,call,11.0,1.11,1.28,0.31,0.41,2,-0.37,-47.44,0.78,0.4,10,0.41,5,-0.3299999999999999,6231,-3725,-37.41,10820,6638,158.73,2.2905,-0.025,-1.08,0.41,0.268571,0.111137,-0.054575,0.004272,0.000445,0.58,9,0.41
2025-04-07,9.15,723467300,7.88,10.98,7.225,call,10.5,1.2,1.42,0.4,0.52,5,-0.44,-45.83,0.96,0.51,22,0.53,21,-0.27,3122,1593,104.19,616,9,1.48,2.3332,-0.0567,-2.37,0.52,0.31838,0.118069,-0.060171,0.004623,0.000519,5.07,9,0.52
2025-04-07,9.15,723467300,7.88,10.98,7.225,put,9.5,0.95,2.38,0.68,2.1,1,0.48,29.63,1.62,2.03,11,2.07,6,0.15,2441,1929,376.76,234,234,0.0,2.4278,0.2249,10.21,2.05,-0.570505,0.124989,-0.067934,0.005087,-0.001396,10.43,9,2.05
